Cities,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
ribeira grande,pt,38.5167,-28.7,63.66,96.0,100.0,23.8
lyuban,ru,59.35,31.2167,26.31,89.0,100.0,7.31
yellowknife,ca,62.456,-114.3525,7.93,97.0,100.0,7.2
geraldton,au,-28.7667,114.6,77.23,86.0,0.0,12.77
conguaco,gt,14.0442,-90.0311,66.06,95.0,0.0,2.04
volovo,ru,53.5583,38.0029,29.57,98.0,100.0,7.61
new norfolk,au,-42.7826,147.0587,69.06,70.0,100.0,7.81
sturgeon falls,ca,46.3646,-79.9326,19.56,92.0,100.0,6.55
bonthe,sl,7.5264,-12.505,77.59,89.0,87.0,1.92
sasaram,in,24.951,84.0149,62.44,57.0,44.0,6.71
yulara,au,-25.2406,130.9889,102.04,11.0,0.0,16.69
dekar,bw,-21.5333,21.9333,68.95,28.0,20.0,6.76
libano,co,4.9218,-75.0623,58.46,87.0,90.0,4.63
bahia blanca,ar,-38.7196,-62.2724,70.18,20.0,15.0,14.97
hobart,au,-42.8794,147.3294,70.41,66.0,32.0,13.56
bridlington,gb,54.0831,-0.1919,39.2,87.0,68.0,18.5
ilheus,br,-14.7889,-39.0494,80.51,92.0,100.0,3.89
kodiak,us,57.79,-152.4072,17.91,76.0,71.0,5.61
mahebourg,mu,-20.4081,57.7,71.69,70.0,11.0,4.25
kysyl-syr,ru,63.8986,122.7617,-30.84,95.0,59.0,2.06
puerto ayora,ec,-0.7393,-90.3518,77.94,84.0,81.0,9.6
quesnel,ca,52.9999,-122.5029,30.43,92.0,33.0,5.53
mar del plata,ar,-38.0023,-57.5575,59.14,66.0,0.0,12.48
taoudenni,ml,22.6783,-3.9836,66.97,22.0,0.0,10.09
pandamatenga,bw,-18.5278,25.627,67.17,83.0,39.0,5.03
ponta do sol,cv,17.1994,-25.0919,68.59,74.0,0.0,13.82
tiksi,ru,71.6872,128.8694,-24.14,89.0,100.0,5.14
lebu,cl,-37.6167,-73.65,59.47,86.0,88.0,6.62
haines junction,ca,60.7522,-137.5108,9.05,93.0,68.0,7.45
bucerias,mx,20.75,-105.3333,76.1,75.0,64.0,8.14
saskylakh,ru,71.9167,114.0833,-23.1,95.0,7.0,4.27
carnarvon,au,-24.8667,113.6333,78.35,84.0,0.0,15.5
bluff,nz,-46.6,168.3333,66.09,45.0,97.0,4.59
tuatapere,nz,-46.1333,167.6833,67.46,41.0,100.0,5.55
hermanus,za,-34.4187,19.2345,57.0,74.0,10.0,7.16
sitka,us,57.0531,-135.33,35.4,94.0,95.0,8.7
bonnyville,ca,54.2668,-110.735,26.58,96.0,100.0,2.48
kutum,sd,14.2,24.6667,44.31,30.0,99.0,3.11
hithadhoo,mv,-0.6,73.0833,81.55,79.0,100.0,15.03
bathsheba,bb,13.2167,-59.5167,78.22,83.0,2.0,11.59
rawannawi,ki,,,,,,
saint anthony,ca,,,,,,
severnoye,ru,56.3491,78.3619,6.06,94.0,100.0,7.56
kruisfontein,za,-34.0033,24.7314,55.47,85.0,45.0,4.59
margate,za,-30.8636,30.3705,71.76,74.0,100.0,16.2
nanortalik,gl,60.1432,-45.2371,20.03,71.0,0.0,21.32
castro,cl,-42.4721,-73.7732,57.7,99.0,100.0,5.1
mehamn,no,71.0357,27.8492,11.91,79.0,62.0,8.05
emba,kz,48.8264,58.1442,8.74,94.0,97.0,13.71
vaitupu,wf,,,,,,
lamu,ke,-2.2717,40.902,80.76,87.0,84.0,12.8
barentsburg,sj,,,,,,
hambantota,lk,6.1241,81.1185,76.95,74.0,100.0,16.17
qaanaaq,gl,77.484,-69.3632,-11.9,67.0,48.0,3.2
belmonte,br,-15.8631,-38.8828,76.84,95.0,100.0,2.73
zhigansk,ru,66.7697,123.3711,-30.12,87.0,6.0,8.12
longyearbyen,sj,78.2186,15.6401,2.53,58.0,89.0,3.76
ilulissat,gl,69.2167,-51.1,5.41,94.0,100.0,3.24
shirokiy,ru,49.758,129.523,-0.29,92.0,43.0,7.45
severo-kurilsk,ru,50.6789,156.125,28.47,88.0,100.0,7.25
kosh-agach,ru,50.0,88.6667,0.46,79.0,100.0,2.19
kamennomostskiy,ru,44.2983,40.1856,35.76,63.0,83.0,2.42
estrela,br,-28.0611,-50.9383,60.58,96.0,100.0,2.19
hervey bay,au,-25.2986,152.8535,86.2,72.0,2.0,10.69
butaritari,ki,3.0707,172.7902,84.47,78.0,95.0,23.11
trabzon,tr,40.9167,39.8333,47.66,58.0,100.0,4.05
trincomalee,lk,8.5711,81.2335,76.42,72.0,100.0,2.17
oyama,jp,36.3,139.8,41.04,90.0,100.0,11.56
porto velho,br,-8.7619,-63.9039,78.42,94.0,30.0,0.56
jalu,ly,29.0331,21.5482,56.39,27.0,26.0,5.39
mount gambier,au,-37.8333,140.7667,74.12,47.0,82.0,8.63
zhuhai,cn,22.2769,113.5678,50.56,56.0,100.0,9.26
airai,pw,,,,,,
ostrovnoy,ru,68.0531,39.5131,3.72,99.0,68.0,6.15
viedma,ar,-40.8135,-62.9967,69.6,33.0,84.0,23.04
taolanaro,mg,,,,,,
linhares,br,-19.3911,-40.0722,73.24,97.0,100.0,5.57
kaitangata,nz,-46.2817,169.8464,65.88,76.0,44.0,8.9
kon tum,vn,14.35,108.0,79.56,53.0,88.0,1.48
noumea,nc,-22.2763,166.4572,85.77,82.0,0.0,21.39
narsaq,gl,60.9167,-46.05,8.8,90.0,80.0,3.11
upernavik,gl,72.7868,-56.1549,-15.12,94.0,100.0,4.79
qorveh,ir,35.1664,47.8045,18.57,59.0,0.0,2.01
constitucion,cl,-35.3333,-72.4167,58.46,87.0,0.0,8.75
qaqortoq,gl,60.7167,-46.0333,13.48,74.0,62.0,9.42
thompson,ca,55.7435,-97.8558,11.97,96.0,100.0,2.24
prachuap khiri khan,th,11.821,99.7841,79.11,59.0,28.0,4.59
hasaki,jp,35.7333,140.8333,45.95,79.0,100.0,31.12
zaria,ng,11.1113,7.7227,59.43,19.0,0.0,7.72
bokspits,bw,,,,,,
puerto madryn,ar,-42.7692,-65.0385,77.14,17.0,10.0,15.21
butia,br,-30.1197,-51.9622,70.83,84.0,73.0,4.05
teguldet,ru,57.3064,88.1667,26.2,87.0,100.0,11.77
umzimvubu,za,,,,,,
lagoa,pt,39.05,-27.9833,63.46,95.0,100.0,11.9
husavik,is,66.0449,-17.3389,18.25,77.0,100.0,12.77
cockburn town,tc,21.4612,-71.1419,76.39,76.0,25.0,10.16
westport,ie,53.8,-9.5167,37.81,78.0,100.0,11.81
vao,nc,-22.6667,167.4833,77.68,81.0,68.0,16.04
berlevag,no,70.8578,29.0864,24.08,74.0,76.0,13.65
talnakh,ru,69.4865,88.3972,7.47,77.0,100.0,6.2
tromso,no,69.6496,18.957,11.07,81.0,94.0,13.02
novosheshminsk,ru,55.0651,51.2338,-6.7,97.0,0.0,6.71
torbay,ca,47.6666,-52.7314,32.88,91.0,30.0,14.29
chagda,ru,,,,,,
khatanga,ru,71.9667,102.5,-15.7,91.0,0.0,8.01
khani,ru,,,,,,
grand river south east,mu,,,,,,
guerrero negro,mx,27.9769,-114.0611,61.32,76.0,0.0,5.23
waipawa,nz,-41.4122,175.5153,70.29,73.0,100.0,4.47
oussouye,sn,12.485,-16.5469,67.87,46.0,0.0,2.51
sterling,us,39.0062,-77.4286,35.46,81.0,26.0,7.87
asau,tv,,,,,,
yar-sale,ru,66.8333,70.8333,-5.55,96.0,93.0,14.61
telimele,gn,10.9167,-13.3333,64.29,61.0,100.0,1.59
cairns,au,-16.9167,145.7667,81.7,84.0,100.0,8.46
mabaruma,gy,8.2,-59.7833,72.5,99.0,67.0,2.33
provideniya,ru,64.3833,-173.3,-2.24,81.0,0.0,5.44
kalavrita,gr,,,,,,
bambous virieux,mu,-20.3428,57.7575,72.64,68.0,36.0,10.38
biak,id,-0.9131,122.8766,82.69,77.0,87.0,3.04
georgetown,sh,-7.9333,-14.4167,77.83,78.0,100.0,14.07
bukama,cd,-9.2,25.85,68.11,99.0,100.0,2.95
houma,cn,35.6254,111.3627,34.68,66.0,0.0,5.1
iqaluit,ca,63.7506,-68.5145,1.13,98.0,100.0,6.38
bandarbeyla,so,9.4942,50.8122,75.4,71.0,42.0,27.09
bredasdorp,za,-34.5322,20.0403,53.89,69.0,30.0,4.29
samusu,ws,,,,,,
lumby,ca,50.2498,-118.969,33.28,95.0,100.0,4.94
buriti,br,-28.299,-54.4,72.46,55.0,0.0,5.84
bad hofgastein,at,47.1667,13.1,28.63,98.0,100.0,8.52
saint-philippe,re,-21.3585,55.7679,69.42,63.0,26.0,8.01
huancavelica,pe,-12.7667,-74.9833,39.38,86.0,100.0,4.09
zhangye,cn,38.9342,100.4517,28.13,36.0,6.0,1.97
arraial do cabo,br,-22.9661,-42.0278,76.71,89.0,24.0,18.34
nikolskoye,ru,59.7035,30.7861,25.11,89.0,100.0,7.31
kodinsk,ru,58.6881,99.1844,13.24,93.0,100.0,6.22
kurilsk,ru,45.2333,147.8833,23.76,53.0,0.0,6.85
port alfred,za,-33.5906,26.891,58.68,82.0,13.0,5.55
esperance,au,-33.8667,121.9,86.34,60.0,0.0,6.4
balakhninskiy,ru,58.0106,114.2769,2.05,96.0,43.0,2.24
olavarria,ar,-36.8927,-60.3225,59.95,32.0,0.0,11.27
fortuna,us,40.5982,-124.1573,50.29,89.0,100.0,6.91
muravlenko,ru,63.7898,74.523,0.19,96.0,100.0,17.2
el triunfo,ec,-1.9333,-79.9667,82.42,84.0,76.0,1.1
kaili,cn,,,,,,
awjilah,ly,29.1081,21.2869,56.39,27.0,26.0,5.39
qarqin,af,37.4185,66.0436,36.1,65.0,6.0,4.45
dauphin,ca,51.1494,-100.0502,10.71,87.0,49.0,2.33
leshukonskoye,ru,64.8989,45.7622,-1.77,97.0,99.0,5.35
dikson,ru,73.5069,80.5464,-11.22,96.0,90.0,4.76
tezu,in,27.9167,96.1667,59.99,38.0,0.0,2.44
san cristobal,ec,-0.9045,-89.6174,78.21,86.0,31.0,6.98
sovetskiy,ru,61.3614,63.5842,-6.47,94.0,100.0,8.43
ahipara,nz,-35.1667,173.1667,69.8,81.0,0.0,11.72
jujuy,ar,,,,,,
osakarovka,kz,50.565,72.5692,17.53,92.0,100.0,23.67
bay city,us,43.5945,-83.8889,28.35,92.0,29.0,8.28
novobureyskiy,ru,49.798,129.8774,3.83,89.0,92.0,5.86
sumbawa,id,,,,,,
dwarka,in,22.2394,68.9678,70.95,52.0,0.0,13.24
pathein,mm,16.7833,94.7333,74.89,54.0,0.0,9.91
comodoro rivadavia,ar,-45.8667,-67.5,72.39,52.0,100.0,30.69
sistranda,no,63.7256,8.834,38.98,77.0,100.0,5.39
rincon,us,32.296,-81.2354,49.95,90.0,27.0,5.23
ahuimanu,us,21.4447,-157.8378,75.04,69.0,46.0,6.64
conceicao da barra,br,-18.5933,-39.7322,80.46,83.0,100.0,11.63
shimoda,jp,34.6667,138.95,47.97,89.0,100.0,44.47
laguna de perlas,ni,12.3429,-83.6712,79.05,72.0,0.0,10.54
half moon bay,us,37.4636,-122.4286,52.61,94.0,99.0,2.57
dergachi,ru,51.2328,48.7659,10.53,89.0,100.0,6.71
lydenburg,za,-25.0978,30.4597,66.42,94.0,70.0,1.86
amderma,ru,,,,,,
aykhal,ru,66.0,111.5,-11.88,94.0,0.0,7.56
vestmannaeyjar,is,63.4427,-20.2734,40.55,67.0,81.0,23.71
atar,mr,20.5169,-13.0499,68.25,27.0,30.0,13.02
vila velha,br,-20.3297,-40.2925,73.58,97.0,100.0,4.05
vardo,no,70.3705,31.1107,12.99,66.0,100.0,8.23
seoul,kr,37.5683,126.9778,48.88,49.0,100.0,8.01
achisay,kz,,,,,,
tabiauea,ki,,,,,,
valparaiso,cl,-33.0393,-71.6273,57.72,86.0,0.0,0.81
mys shmidta,ru,,,,,,
svencioneliai,lt,55.1667,26.0,29.07,93.0,87.0,4.18
saint-pierre,pm,46.7654,-56.1695,30.52,94.0,4.0,5.68
mazsalaca,lv,57.8633,25.0547,32.63,90.0,100.0,8.05
vitim,ru,59.4511,112.5578,5.56,93.0,18.0,2.44
kuala lipis,my,4.1842,102.0468,81.86,78.0,99.0,0.81
jatiroto,id,-7.8833,111.1167,86.52,66.0,6.0,2.66
labutta,mm,,,,,,
tuktoyaktuk,ca,69.4541,-133.0374,-21.5,97.0,100.0,12.39
aljezur,pt,37.3191,-8.8033,56.53,88.0,100.0,12.84
maneadero,mx,31.7167,-116.5667,53.94,70.0,0.0,2.98
hamilton,bm,32.2915,-64.778,63.36,75.0,100.0,19.06
don benito,es,38.9563,-5.8616,51.87,93.0,100.0,7.2
balaka,mw,-14.9793,34.9558,69.39,98.0,100.0,3.0
tsiroanomandidy,mg,-18.7667,46.0333,67.35,97.0,0.0,1.54
srednekolymsk,ru,67.45,153.6833,-23.24,92.0,100.0,6.33
east london,za,-33.0153,27.9116,65.41,74.0,100.0,5.84
achim,de,53.0112,9.033,44.02,87.0,100.0,16.46
kemijarvi,fi,,,,,,
lompoc,us,34.6391,-120.4579,61.11,72.0,0.0,16.4
kisanga,tz,-7.4362,37.7034,71.49,97.0,88.0,1.07
ketchenery,ru,,,,,,
kristiansund,no,63.1115,7.732,35.19,77.0,100.0,5.64
turka,ua,49.1541,23.0297,28.71,97.0,92.0,6.35
sangar,ru,63.9242,127.4739,-30.23,83.0,0.0,2.62
coihaique,cl,-45.5752,-72.0662,53.31,98.0,90.0,8.97
khonuu,ru,,,,,,
chiredzi,zw,-21.05,31.6667,70.09,80.0,100.0,7.36
nagapattinam,in,10.7667,79.8333,79.66,65.0,70.0,6.38
denpasar,id,-8.65,115.2167,89.98,67.0,9.0,6.53
alice springs,au,-23.7,133.8833,101.7,20.0,0.0,18.3
mashhad,ir,36.297,59.6062,30.94,62.0,0.0,2.62
champerico,gt,14.3,-91.9167,76.15,86.0,33.0,5.21
nhamunda,br,-2.1861,-56.7131,74.5,95.0,65.0,3.4
rocha,uy,-34.4833,-54.3333,51.66,83.0,0.0,1.61
viking,ca,53.1001,-111.7684,21.47,80.0,90.0,3.98
puerto escondido,mx,15.85,-97.0667,75.99,92.0,13.0,1.92
souillac,mu,-20.5167,57.5167,71.67,70.0,11.0,4.25
angoche,mz,-16.2325,39.9086,74.91,96.0,100.0,6.04
bahir dar,et,11.5936,37.3908,56.75,38.0,2.0,2.89
cherskiy,ru,68.75,161.3,-12.95,92.0,100.0,7.83
clyde river,ca,70.4692,-68.5914,-23.44,86.0,0.0,5.17
muros,es,42.7762,-9.0603,49.01,97.0,92.0,3.65
koslan,ru,63.4564,48.8989,-15.68,99.0,7.0,3.36
carutapera,br,-1.195,-46.02,82.26,80.0,100.0,17.16
picota,pe,-6.9197,-76.3304,60.87,86.0,87.0,1.59
najran,sa,17.4924,44.1277,41.41,56.0,0.0,1.81
tessalit,ml,20.1986,1.0114,70.02,10.0,66.0,8.84
poum,nc,-20.2333,164.0167,79.74,79.0,100.0,19.1
coquimbo,cl,-29.9533,-71.3436,64.81,91.0,0.0,7.43
port augusta,au,-32.5,137.7667,91.26,20.0,0.0,8.19
pevek,ru,69.7008,170.3133,-0.11,87.0,100.0,2.39
novobelokatay,ru,55.7062,58.9549,-1.73,97.0,100.0,7.87
cayenne,gf,4.9333,-52.3333,78.13,89.0,85.0,5.23
kavieng,pg,-2.5744,150.7967,85.06,73.0,6.0,10.16
ponta delgada,pt,37.7333,-25.6667,63.59,86.0,100.0,31.85
nishihara,jp,26.1842,127.7558,64.27,69.0,100.0,18.97
pecos,us,31.4229,-103.4932,59.09,42.0,92.0,17.05
ayutla,mx,20.1167,-104.3333,51.51,82.0,0.0,1.43
sungaipenuh,id,-2.0833,101.3833,71.82,83.0,100.0,1.97
lorengau,pg,-2.0226,147.2712,84.33,78.0,97.0,12.57
tasiilaq,gl,65.6145,-37.6368,28.18,52.0,100.0,6.64
olga,ru,43.7444,135.2892,28.38,76.0,100.0,14.16
can,tr,40.0333,27.0524,51.31,93.0,100.0,5.06
kabalo,cd,-6.05,26.9167,69.17,96.0,100.0,1.9
kalabo,zm,-14.97,22.6814,65.52,94.0,33.0,4.81
san patricio,mx,19.2167,-104.7,78.08,76.0,0.0,15.52
yook,ph,13.2261,121.964,79.11,79.0,50.0,8.46
kingisepp,ru,59.3733,28.6134,32.65,93.0,100.0,6.85
bilma,ne,18.6853,12.9164,58.37,12.0,0.0,4.25
gizo,sb,-8.103,156.8419,84.13,72.0,58.0,7.52
cape canaveral,us,28.4058,-80.6048,62.42,66.0,92.0,10.92
novyy urengoy,ru,66.0833,76.6333,2.05,94.0,100.0,14.97
kingaroy,au,-26.5333,151.8333,80.22,62.0,91.0,5.48
nouadhibou,mr,20.931,-17.0347,64.17,62.0,0.0,17.0
vryburg,za,-26.9566,24.7284,53.58,33.0,0.0,3.11
bambanglipuro,id,-7.95,110.2833,87.26,63.0,16.0,0.09
sur,om,22.5667,59.5289,62.64,59.0,0.0,9.91
baruun-urt,mn,46.6806,113.2792,2.62,89.0,64.0,4.52
goba,et,7.0167,39.9833,51.19,97.0,100.0,0.67
qasigiannguit,gl,68.8193,-51.1922,5.41,94.0,100.0,3.24
andenes,no,69.3143,16.1194,23.67,61.0,100.0,12.15
kismayo,so,-0.3582,42.5454,80.31,82.0,100.0,17.2
bethel,us,41.3712,-73.414,34.21,87.0,0.0,5.14
kavaratti,in,10.5669,72.642,80.83,61.0,100.0,4.63
codrington,ag,,,,,,
lima,pe,-12.0432,-77.0282,75.43,76.0,98.0,7.4
elliot lake,ca,46.3834,-82.6331,23.7,92.0,62.0,8.34
hovd,mn,48.0056,91.6419,7.75,57.0,10.0,1.5
lewisporte,ca,49.2499,-55.0482,26.15,96.0,100.0,7.43
along,in,28.1667,94.7667,55.78,52.0,0.0,2.01
prince rupert,ca,54.3161,-130.3201,37.9,86.0,99.0,5.75
padang,id,-0.9492,100.3543,79.95,72.0,100.0,1.52
sambava,mg,-14.2667,50.1667,69.03,85.0,30.0,2.26
luderitz,na,-26.6481,15.1594,62.53,73.0,0.0,23.76
laibin,cn,23.7,109.2667,47.44,67.0,80.0,7.16
ancud,cl,-41.8697,-73.8203,59.54,97.0,100.0,12.75
praia,cv,14.9215,-23.5087,71.76,85.0,67.0,12.03
leningradskiy,ru,69.3833,178.4167,-12.32,96.0,13.0,10.45
victoria,sc,-4.6167,55.45,79.93,75.0,100.0,17.47
jasper,ca,52.8833,-118.0857,11.41,91.0,0.0,6.26
bad wildungen,de,51.1196,9.1248,42.06,91.0,100.0,14.67
oriximina,br,-1.7656,-55.8661,80.15,82.0,100.0,2.75
abrau-dyurso,ru,44.69,37.59,43.81,79.0,24.0,14.63
zachagansk,kz,,,,,,
san onofre,co,9.7359,-75.5263,76.64,89.0,39.0,7.54
chernyshevskiy,ru,63.0128,112.4714,-8.55,98.0,5.0,3.69
norman wells,ca,65.282,-126.8329,-21.19,99.0,100.0,3.98
lavrentiya,ru,65.5833,-171.0,-12.06,72.0,0.0,2.71
aden,ye,12.7794,45.0367,73.29,65.0,0.0,8.37
hami,cn,42.8,93.45,12.42,73.0,24.0,1.7
wattegama,lk,6.7989,81.4808,75.22,74.0,52.0,5.61
cidreira,br,-30.1811,-50.2056,74.3,77.0,77.0,12.68
itarema,br,-2.9248,-39.9167,76.59,90.0,100.0,3.44
messini,gr,37.0511,22.0078,46.26,85.0,0.0,10.09
nizhneyansk,ru,,,,,,
ulaanbaatar,mn,47.9077,106.8832,-6.68,67.0,0.0,3.56
bonavista,ca,48.6499,-53.1147,35.08,91.0,100.0,14.29
strezhevoy,ru,60.7333,77.5889,2.5,91.0,100.0,10.87
kahului,us,20.8947,-156.47,77.09,74.0,13.0,24.52
kaeo,nz,-35.1,173.7833,78.12,78.0,1.0,12.26
tsihombe,mg,,,,,,
beringovskiy,ru,63.05,179.3167,7.74,87.0,51.0,10.49
jardim,br,-21.4803,-56.1381,75.2,65.0,0.0,4.47
piet retief,za,-27.0071,30.8132,56.37,86.0,100.0,2.84
krasnoselkup,ru,65.7,82.4667,21.18,94.0,100.0,17.02
yumen,cn,40.2833,97.2,25.45,40.0,0.0,4.45
northam,au,-31.6667,116.6667,104.45,10.0,0.0,6.55
udachnyy,ru,66.4167,112.4,-12.78,96.0,0.0,5.77
richards bay,za,-28.783,32.0377,69.69,78.0,67.0,7.16
anadyr,ru,64.75,177.4833,0.19,97.0,24.0,7.29
broken hill,au,-31.95,141.4333,92.79,15.0,0.0,11.5
tilichiki,ru,60.4667,166.1,16.63,92.0,100.0,6.69
saiha,in,22.4833,92.9667,63.07,42.0,0.0,1.54
santa lucia,es,27.9117,-15.5407,57.31,88.0,36.0,6.44
barvinkove,ua,48.9097,37.0205,29.84,89.0,59.0,5.23
chulman,ru,56.8479,124.9104,3.2,95.0,88.0,1.66
riyadh,sa,24.6877,46.7219,40.01,43.0,0.0,1.1
okhotsk,ru,59.3833,143.3,-7.38,71.0,0.0,9.08
waingapu,id,-9.6567,120.2641,84.22,73.0,83.0,2.93
salalah,om,17.0151,54.0924,60.01,33.0,0.0,18.99
korla,cn,41.7597,86.1469,16.25,59.0,0.0,6.76
letlhakane,bw,-21.4167,25.5833,69.75,79.0,58.0,9.15
de-kastri,ru,51.4667,140.7833,14.07,83.0,100.0,4.21
arman,ru,59.7,150.1667,20.95,93.0,100.0,11.9
powassan,ca,46.0334,-79.3496,21.31,96.0,100.0,6.73
batticaloa,lk,7.7102,81.6924,75.49,76.0,47.0,2.01
lincoln,nz,-43.65,172.4833,73.02,46.0,95.0,5.46
sabinas,mx,27.85,-101.1167,70.25,51.0,69.0,15.68
artyom,az,40.4723,50.333,43.86,78.0,0.0,19.39
babstovo,ru,48.1167,132.4833,11.98,84.0,0.0,2.89
kourou,gf,5.1552,-52.6478,78.13,89.0,85.0,5.23
ngukurr,au,,,,,,
klaksvik,fo,62.2266,-6.589,35.78,72.0,63.0,15.01
naze,jp,28.3667,129.4833,60.91,75.0,100.0,20.38
kitob,uz,39.0843,66.8332,24.67,56.0,0.0,2.98
saldanha,za,-33.0117,17.9442,58.17,82.0,43.0,16.82
meulaboh,id,4.1363,96.1285,81.36,76.0,82.0,6.02
faanui,pf,-16.4833,-151.75,83.16,73.0,66.0,10.45
antalaha,mg,-14.9003,50.2788,78.31,73.0,0.0,12.55
havre-saint-pierre,ca,50.2334,-63.5986,14.02,86.0,100.0,24.83
tautira,pf,-17.7333,-149.15,85.68,70.0,88.0,7.63
dingle,ie,52.1408,-10.2689,44.46,61.0,100.0,35.48
patrocinio,br,-18.9439,-46.9925,70.16,92.0,25.0,2.28
labuan,my,5.2767,115.2417,80.8,84.0,12.0,8.1
sorland,no,67.667,12.6934,28.51,78.0,100.0,24.52
tucupita,ve,9.0622,-62.051,72.93,97.0,0.0,3.47
verkhoyansk,ru,67.5447,133.385,-39.05,60.0,0.0,1.3
halalo,wf,,,,,,
shakawe,bw,-18.3667,21.85,67.66,91.0,82.0,4.74
san andres,co,12.5847,-81.7006,80.22,65.0,22.0,6.8
zenzeli,ru,45.9241,47.0474,32.77,84.0,96.0,3.67
tukrah,ly,32.5341,20.5791,55.98,80.0,7.0,9.82
tacuarembo,uy,-31.7333,-55.9833,66.15,69.0,2.0,9.91
hokitika,nz,-42.7167,170.9667,65.19,89.0,100.0,3.58
port hardy,ca,50.6996,-127.4199,41.13,95.0,100.0,4.88
nevel,ru,56.0209,29.9284,31.82,97.0,100.0,4.43
svetlogorsk,ru,54.9399,20.1548,36.19,89.0,100.0,17.0
armizonskoye,ru,55.9461,67.6736,-6.92,98.0,80.0,7.07
svay rieng,kh,11.0879,105.7993,80.87,64.0,66.0,7.63
pierre,us,44.3683,-100.351,29.64,95.0,100.0,3.51
attawapiskat,ca,,,,,,
simao,cn,22.7886,100.9748,58.24,42.0,0.0,4.38
nushki,pk,29.5542,66.0215,41.18,71.0,99.0,3.56
yarada,in,17.65,83.2667,71.51,74.0,38.0,9.91
corning,us,42.1428,-77.0547,27.73,92.0,100.0,8.72
kjopsvik,no,68.097,16.3742,21.65,80.0,100.0,14.56
goderich,sl,,,,,,
polyarnyy,ru,69.1989,33.4478,-21.75,100.0,64.0,3.87
harrisonburg,us,38.4496,-78.8689,36.14,89.0,29.0,2.46
la ronge,ca,55.1001,-105.2842,13.3,91.0,89.0,4.45
imbituba,br,-28.24,-48.6703,74.53,79.0,94.0,13.13
san miguel,ph,15.1454,120.9789,87.73,54.0,0.0,3.18
tripoli,ly,32.8752,13.1875,60.22,63.0,0.0,0.22
amilly,fr,47.9728,2.7719,46.26,82.0,100.0,20.45
saint-joseph,re,-21.3667,55.6167,69.51,66.0,1.0,12.95
puntarenas,cr,9.9763,-84.8384,71.19,77.0,0.0,2.91
alugan,ph,12.2188,125.4808,81.86,71.0,21.0,4.65
mullaitivu,lk,,,,,,
wanning,cn,18.8003,110.3967,63.63,87.0,100.0,8.75
bud,no,62.9088,6.9145,35.56,68.0,100.0,8.77
cabo san lucas,mx,22.8909,-109.9124,62.85,87.0,57.0,7.81
